Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim14;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;28.204;20.218;94.356;9.024;13.162;14.409;10.459;7.972;6.376;10.685;5.125;13.259;3.885;142.778
;Contra o patrimônio;119.517;53.186;119.783;12.310;21.596;18.588;8.928;6.729;16.970;12.221;2.948;16.199;3.294;292.486
I;Contra a Dignidade Sexual;642;531;1.947;194;293;252;200;154;149;317;86;218;84;3.120
;Entorpecentes;1.727;1.037;9.450;876;1.134;1.937;992;690;600;1.010;496;1.388;327;12.214
;Contravencionais;1.545;1.547;9.757;668;1.033;2.014;1.182;942;576;984;548;1.392;418;12.849
;Outros criminais (não inclui contravenções);5.271;4.200;22.456;1.894;2.911;3.382;2.241;2.259;1.433;2.838;1.247;3.227;1.024;31.927
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);50.871;23.740;25.660;3.247;5.492;2.809;1.050;701;5.656;2.347;188;3.768;402;100.271
;Total de delitos;156.906;80.719;257.749;24.966;40.129;40.582;24.002;18.746;26.104;28.055;10.450;35.683;9.032;495.374
;Não Criminais;127.166;63.697;179.785;18.205;28.689;28.511;15.905;9.512;17.979;19.208;7.435;27.541;6.800;370.648
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;169.136;125.351;428.330;44.333;68.575;69.441;40.762;29.017;32.495;47.070;18.189;62.570;15.878;722.817
;Total de termos circunstanciados lavrados pela Polícia Civil (2);2.981;3.130;30.559;2.372;3.283;4.642;5.010;3.201;1.638;1.904;3.424;4.243;842;36.670
;Total de inquéritos instaurados;24.948;17.173;58.150;5.874;8.052;9.557;5.850;4.753;4.376;6.659;3.357;7.245;2.427;100.271
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (9);1;1;0;0;0;0;0;0;0;0;0;0;0;2
;Pessoas mortas por policiais civis de folga (9);3;2;0;0;0;0;0;0;0;0;0;0;0;5
IV;Pessoas feridas em confronto com a polícia civil em serviço;10;3;4;2;1;0;0;0;0;0;0;1;0;17
;Pessoas feridas por policiais civis de folga;1;0;2;0;0;0;0;0;2;0;0;0;0;3
V;Policiais civis mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VI;Policiais civis feridos em serviço;4;2;12;5;2;0;0;0;1;0;2;2;0;18
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);7.624;5.982;23.328;2.317;3.005;3.923;2.402;1.507;2.055;2.966;1.048;3.203;902;36.934
;Nº de pessoas presas em flagrante;8.293;4.961;17.849;1.707;2.431;3.095;1.762;1.079;1.668;2.266;802;2.384;655;31.103
;Nº de pessoas presas por mandado;1.860;1.801;8.499;814;936;1.460;921;759;652;975;510;1.123;349;12.160
