Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim17;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;23.543;16.631;79.660;7.489;11.341;11.670;9.066;6.061;5.900;9.268;4.288;11.041;3.536;119.834
;Contra o patrimônio;116.313;51.258;114.314;11.827;20.418;17.678;9.493;6.466;14.761;12.347;2.904;15.161;3.259;281.885
I;Contra a Dignidade Sexual;1.007;618;2.083;192;305;299;240;151;196;330;79;206;85;3.708
;Entorpecentes;2.360;1.938;10.602;824;1.143;1.988;1.034;661;1.167;1.136;653;1.429;567;14.900
;Contravencionais;1.432;900;8.020;576;848;1.447;1.092;567;582;941;503;1.128;336;10.352
;Outros criminais (não inclui contravenções);5.212;3.700;17.077;1.304;2.318;2.168;1.746;1.503;1.374;2.321;1.009;2.506;828;25.989
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);44.473;22.705;22.332;2.618;5.016;2.660;911;593;4.908;2.162;152;3.008;304;89.510
;Total de delitos;149.867;75.045;231.756;22.212;36.373;35.250;22.671;15.409;23.980;26.343;9.436;31.471;8.611;456.668
;Não Criminais;134.494;60.947;181.770;18.068;31.423;28.058;17.118;9.366;18.772;19.065;7.218;25.803;6.879;377.211
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;151.235;130.126;404.497;41.838;67.087;63.970;40.575;25.957;31.176;45.126;16.862;56.045;15.861;685.858
